data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9364526,646,RWA718,718,17-Jun-22,2022,1,Battles,Armed clash,Military Forces of the Democratic Republic of Congo (2019-),,8,Police Forces of Rwanda (1994-),,1,18,Eastern Africa,Rwanda,West,Rubavu,Gisenyi,Gisenyi,-1.7008,29.2633,1,Igihe,National,"On 17 June 2022, an FARDC soldier exchanged fire with Rwandan police forces at the Petite Barriere border in Gasutamo village, Gisenyi (Rubavu, West). The government of Rwanda said one FARDC soldier was killed and two Rwandan policemen injured. An unknown number of civilians were also injured. Some Congolese reports claimed the clash took place on DR Congo side, unsupported by local sources.",1,1655827948,RWA
9365710,508,MZM2807,2807,17-Jun-22,2022,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Nampula,Memba,Lurio,Lurio,-13.5291,40.5045,1,Amaq; Zitamar; Twitter,New media-National,"On 17 June 2022, Islamist militia attacked the village of Lurio (Memba, Nampula). Food was looted and one local shopper was shot in his arm and went to the hospital. The Islamic State claimed the attack saying that one civilian was killed, beheaded.",1,1655833736,MOZ
9365731,706,SOM37060,37060,17-Jun-22,2022,1,Battles,Armed clash,Al Shabaab,,2,ATMIS: African Union Transition Mission in Somalia (2022-) (Djibouti),Military Forces of Somalia (2022-) Special Forces,8,28,Eastern Africa,Somalia,Galgaduud,Dhuusamarreeb,,Dhuusamarreeb,5.5376,46.3867,1,Caasimada; Radio Risala,National,"On 17 June 2022, Al Shabaab militants fired ten mortar shells against ATMIS DNDF troops and government security forces (Gorgor) at bases at the Ugas Nur airport in Dhuusamarreeb town (Dhuusamarreeb, Galgaduud). The security forces fired mortar shells towards the attackers. There were no casualties. Al Shabaab claimed responsibility.",0,1655833736,SOM
9365754,706,SOM37113,37113,17-Jun-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-) Galmudug Security Force,Habar Gedir Clan Militia (Somalia),1,12,Eastern Africa,Somalia,Galgaduud,Cadaado,,Baxdo,5.7833,47.2167,1,Radio Mogadishu; Hiiraan (Somalia); Horseed Media; VOA; Radio Dalsan; Calamada; Caasimada,National-International,"On 17 June 2022, Al Shabaab militants launched an offensive attack against Galmudug security forces and Habar Gedir clan militia in Baxdo village (Cadaado, Galgaduud). The attack was initiated with two IED explosions followed by heavy gunfire from both sides. 70 militants and 27 soldiers were killed. Al Shabaab claimed responsibility.",97,1655833736,SOM
9365760,706,SOM37126,37126,17-Jun-22,2022,1,Strategic developments,Non-violent transfer of territory,Military Forces of Somalia (2022-),Macawiisley Clan Militia (Somalia),1,Al Shabaab,,2,12,Eastern Africa,Somalia,Hiraan,Belet Weyne,,Jiracle,5.0388,45.2891,1,Radio Dalsan; Radio Kulmiye; Hiiraan (Somalia),National,"On 17 June 2022, government security forces (SNA) and Macawiisley clan militia in an operation took control of Jiracle village (Belet Weyne, Hiraan) from Al Shabaab militants. There were no clashes.",0,1655833736,SOM
9365797,706,SOM37121,37121,17-Jun-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Police Forces of Somalia (2022-) Southwest Special Police Forces,,1,12,Eastern Africa,Somalia,Bay,Baydhaba,,Baidoa,3.1172,43.6469,1,Al Furqaan,National,"On 17 June 2022, overnight, Al Shabaab militants carried out a hit and run attack against Southwest Special Police Forces (SWSPF) at a checkpoint in Baidoa town (Baydhaba, Bay). There were no casualties. Al Shabaab claimed responsibility.",0,1655833736,SOM
9365798,706,SOM37105,37105,17-Jun-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Afgooye,2.15,45.116,1,Al Furqaan,National,"On 17 June 2022, overnight, Al Shabaab militants shot and killed a government soldier (SNA) [assumed on duty] at a checkpoint in Afgooye town (Afgooye, Lower Shabelle). Al Shabaab claimed responsibility.",1,1655833736,SOM
9365799,706,SOM37112,37112,17-Jun-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Bariirre,2.0476,44.8975,1,Al Furqaan,National,"On 17 June 2022, overnight, Al Shabaab militants carried out a hit and run attack against government security forces (SNA) at a defensive base in Bariirre village (Afgooye, Lower Shabelle). There were no casualties. Al Shabaab claimed responsibility.",0,1655833736,SOM
9365800,706,SOM37096,37096,17-Jun-22,2022,1,Violence against civilians,Attack,Military Forces of Somalia (2022-),,1,Civilians (Somalia),Farmers (Somalia),7,17,Eastern Africa,Somalia,Lower Shabelle,Marka,,Janaale,1.8,44.7,2,Al Furqaan,National,"On 17 June 2022, government security forces (SNA) shot and killed a farmer in the vicinity of Janaale village (Marka, Lower Shabelle). The motive of the killing is unknown.",1,1655833736,SOM
9365801,706,SOM37106,37106,17-Jun-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Awdheegle,1.9833,44.8333,1,Al Furqaan,National,"On 17 June 2022, overnight, Al Shabaab militants carried out a hit and run attack against government security forces (SNA) at a base in Awdheegle village (Afgooye, Lower Shabelle). There were no casualties. Al Shabaab claimed responsibility.",0,1655833736,SOM
9365802,706,SOM37081,37081,17-Jun-22,2022,1,Battles,Armed clash,Al Shabaab,,2,ATMIS: African Union Transition Mission in Somalia (2022-) (Uganda),,8,28,Eastern Africa,Somalia,Lower Shabelle,Marka,,Janaale,1.8,44.7,1,Al Furqaan,National,"On 17 June 2022, overnight, Al Shabaab militants launched a probing attack against ATMIS UPDF at a base in Janaale village (Marka, Lower Shabelle). There were no casualties. Al Shabaab claimed responsibility.",0,1655833736,SOM
9365858,480,MUS275,275,17-Jun-22,2022,1,Protests,Peaceful protest,Protesters (Mauritius),Students (Mauritius),6,,,0,60,Eastern Africa,Mauritius,Plaines Wilhems,,,Curepipe,-20.315,57.5211,1,Defi Media,National,"On 17 June 2022, a group of students protested at the Mauritius College for a second consecutive day in Curepipe (Plaines Wilhems) against the management of the school as a colleague could not access the school. The student was allegedly mistreated by a member of the management on the previous day, leading to a protest (coded separately). [size=no report]",0,1655833736,MUS
9365924,404,KEN8902,8902,17-Jun-22,2022,1,Protests,Peaceful protest,Protesters (Kenya),Labour Group (Kenya),6,,,0,60,Eastern Africa,Kenya,Uasin Gishu,Moiben,Kimumu,Eldoret,0.5167,35.2833,1,NTV (Kenya),New media,"On 17 June 2022, former and current workers demonstrated by carrying banners, twigs and waving placards in Eldoret (Moiben, Uasin Gishu) against delay in implementation of the senate recommendations on the management of their sacco. The group demanded the receiver management to be stop. [size=no report]",0,1655833736,KEN
9365986,706,SOM37129,37129,17-Jun-22,2022,1,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,2,Military Forces of Somalia (2022-) Jubaland Security Force,Civilians (Somalia),1,12,Eastern Africa,Somalia,Lower Juba,Kismaayo,,Kismayo,-0.3603,42.5463,1,Radio Risala,National,"On 17 June 2022, overnight, an IED by suspected Al Shabaab militants attached to a residential home of Jubaland soldier detonated at the Kiboor neighborhood in Kismayo town (Kismaayo, Lower Juba). Three people including the soldier were injured.",0,1655833736,SOM
9366041,508,MZM2808,2808,17-Jun-22,2022,2,Protests,Peaceful protest,Protesters (Mozambique),Labour Group (Mozambique),6,,,0,60,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa da Praia,Mocimboa da Praia,Quelimane,-11.1631,40.3042,1,Televisao de Mozambique,National,"Around 17 June 2022 (as reported), a group of former workers of the company Companhia da Madal gathered in demonstration in Quelimane (Mocimboa da Praia, Cabo Delgado) demanding the payment of their salaries, late for two years. The Company closed. [size=no report]",0,1655833737,MOZ
9364459,800,UGA7972,7972,16-Jun-22,2022,1,Strategic developments,Arrests,Military Forces of Uganda (1986-),,1,Civilians (Uganda),ADF: Allied Democratic Forces,7,17,Eastern Africa,Uganda,Central,Luwero,Katikamu,Luwero,0.8413,32.4933,2,Daily Monitor (Uganda),National,"On 16 June 2022, UPDF soldiers arrested three ADF members including a commander near the Kampala-Gulu highway at Kikubajinja zone in Luwero town council (Luwero, Central). UPDF also discovered a suspected ADF training facility and a cache of weapons and explosives.",0,1655827947,UGA
9364749,800,UGA7975,7975,16-Jun-22,2022,1,Riots,Mob violence,Rioters (Democratic Republic of Congo),Refugees/IDPs (Democratic Republic of Congo),5,Civilians (Uganda),M23: March 23 Movement; Police Forces of Uganda (1986-); Military Forces of Uganda (1986-),7,57,Eastern Africa,Uganda,Western,Kisoro,Bufumbira,Bunagana,-1.1667,29.6667,1,URN (Uganda),National,"On 16 June 2022, Congolese refugees beat up a suspected M23 rebel in Bunagana town (Kisoro, Western). The unarmed suspected rebel was removing his military attire when he was attacked by the refugees who were armed with clubs and sticks. Police and military forces were forced to fire in the air to save the victim. He was taken to the hospital. [size=no report]",0,1655827948,UGA
9365691,454,MAW1084,1084,16-Jun-22,2022,1,Protests,Peaceful protest,Protesters (Malawi),HRA: Human Rights Ambassadors,6,,,0,60,Eastern Africa,Malawi,Southern,Mangochi,TA Mponda,Mangochi,-14.4667,35.2667,1,Face of Malawi; GardaWorld; Malawi Times; Maravi Post,Other-National,"On 16 June 2022, HRA members held an anti-government march to the District Council in Mangochi (TA Mponda, Mangochi, Southern) over the economic struggle. [size=no report]",0,1655833736,MWI
9365692,480,MUS273,273,16-Jun-22,2022,1,Protests,Peaceful protest,Protesters (Mauritius),MMM: Mauritian Militant Movement; Women (Mauritius),6,,,0,60,Eastern Africa,Mauritius,Port Louis,,,Port Louis,-20.1619,57.4988,1,L'Express (Mauritius); Defi Media,National,"On 16 June 2022, a group of women who are members of the Entente de l'Espoir gathered in demonstration in front of Parliament in Port Louis (Port Louis) to express their support of three MMM deputies who were expelled during the reading session of the 2020/2021 supplementary budget. [size=no report]",0,1655833736,MUS
9365693,480,MUS274,274,16-Jun-22,2022,1,Protests,Peaceful protest,Protesters (Mauritius),Students (Mauritius),6,,,0,60,Eastern Africa,Mauritius,Plaines Wilhems,,,Curepipe,-20.315,57.5211,1,Le Mauricien; Defi Media,National,"On 16 June 2022, a group of students protested at the Mauritius College in Curepipe (Plaines Wilhems) against the management of the school as a manager allegedly made racist comments towards a student. [size=no report]",0,1655833736,MUS
9365707,508,MZM2804,2804,16-Jun-22,2022,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Nangade,Nangade,Nangade,-11.0772,39.6744,2,Cabo Ligado; Twitter; Zitamar,Local partner-Other,"On 16 June 2022, Islamist militia attacked at least one car as they blocked (by unspecified means) the road connecting Nangade (Nangade, Cabo Delgado) to Mueda (Nangade, Cabo Delgado). Casualties unknown.",0,1655833736,MOZ
9365708,508,MZM2805,2805,16-Jun-22,2022,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Nangade,Nangade,Ngangolo,-11.2837,39.6116,1,Cabo Ligado; Zitamar; Twitter,Local partner-Other,"On 16 June 2022, Islamist militia attacked civilians in the village Ngangolo (Nangade, Cabo Delgado). Six people were captured. At least one person was killed.",1,1655833736,MOZ
9365709,508,MZM2806,2806,16-Jun-22,2022,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Nangade,Nangade,Nangade,-11.0772,39.6744,2,Zitamar; Twitter,New media-National,"On 16 June 2022, Islamist militia attacked civilians around Lussuolo in the district of Nangade (Nangade, Cabo Delgado). Four people were killed.",4,1655833736,MOZ
9365738,706,SOM37080,37080,16-Jun-22,2022,1,Violence against civilians,Attack,Al Shabaab,,2,Civilians (Somalia),Majeerteen Clan Group (Somalia),7,27,Eastern Africa,Somalia,Mudug,Gaalkacyo,,Garsoor,6.7662,47.4279,1,Caasimada; Radio Risala; Horseed Media; Radio Dalsan,National,"On 16 June 2022, overnight, suspected Al Shabaab militants shot and killed a prominent clan elder from the Majeerteen clan in Garsoor village (Gaalkacyo, Mudug).",1,1655833736,SOM
9365763,706,SOM37131,37131,16-Jun-22,2022,1,Battles,Armed clash,Military Forces of Somalia (2022-),Macawiisley Clan Militia (Somalia),1,Al Shabaab,,2,12,Eastern Africa,Somalia,Hiraan,Belet Weyne,,Bacda,4.9793,45.5475,1,Radio Dalsan; Hiiraan (Somalia); Radio Kulmiye,National,"On 16 June 2022, overnight, government security forces (SNA) and Macawiisley clan militia in an operation clashed with Al Shabaab militants at hideouts in Bacda village (Belet Weyne, Hiraan). There were no casualties.",0,1655833736,SOM
9365818,706,SOM37103,37103,16-Jun-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Ceelasha Biyaha,2.0823,45.2102,1,Calamada,National,"On 16 June 2022, overnight, Al Shabaab militants attacked government security forces (SNA) at a defensive base in Ceelasha Biyaha village (Afgooye, Lower Shabelle). There were no casualties. Al Shabaab claimed responsibility.",0,1655833736,SOM
9365820,706,SOM37064,37064,16-Jun-22,2022,1,Battles,Armed clash,Al Shabaab,,2,ATMIS: African Union Transition Mission in Somalia (2022-) (Kenya),,8,28,Eastern Africa,Somalia,Lower Juba,Afmadow,,Tabta,0.3046,41.4394,1,Calamada,National,"On 16 June 2022, overnight, Al Shabaab militants carried out a hit and run attack against ATMIS KDF at a forward operation base in Tabta village (Afmadow, Lower Juba). There were no casualties. Al Shabaab claimed responsibility.",0,1655833736,SOM
9365824,706,SOM37104,37104,16-Jun-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Bariirre,2.0476,44.8975,1,Calamada,National,"On 16 June 2022, overnight, Al Shabaab militants carried out a hit and run attack against government security forces (SNA) at a base in Bariirre village (Afgooye, Lower Shabelle). There were no casualties. Al Shabaab claimed responsibility.",0,1655833736,SOM
9365827,706,SOM37101,37101,16-Jun-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,Eastern Africa,Somalia,Banadir,Banadir,,Mogadishu - Wardhigley,2.0549,45.33,1,Calamada,National,"On 16 June 2022, overnight, Al Shabaab militants attacked government security forces (SNA) at a checkpoint in the Ifka Xaalene neighborhood in Mogadishu - Wardhigley (Banadir). There were no casualties. Al Shabaab claimed responsibility.",0,1655833736,SOM
9365830,706,SOM37078,37078,16-Jun-22,2022,1,Battles,Armed clash,Al Shabaab,,2,ATMIS: African Union Transition Mission in Somalia (2022-) (Uganda),,8,28,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Awbocow,1.985,45.0018,1,Calamada,National,"On 16 June 2022, overnight, Al Shabaab militants launched a probing attack against ATMIS UPDF at a base in Awbocow village (Afgooye, Lower Shabelle). There were no casualties. Al Shabaab claimed responsibility.",0,1655833736,SOM
9365831,706,SOM37102,37102,16-Jun-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Almada,2.2187,45.2087,1,Calamada,National,"On 16 June 2022, overnight, Al Shabaab militants carried out a hit and run attack against government security forces (SNA) at a defensive base in Almada village (Afgooye, Lower Shabelle). There were no casualties. Al Shabaab claimed responsibility.",0,1655833736,SOM
9365832,706,SOM37100,37100,16-Jun-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,Eastern Africa,Somalia,Banadir,Banadir,,Mogadishu - Yaqshid,2.0678,45.35,1,Calamada,National,"On 16 June 2022, overnight, Al Shabaab militants carried out a hit and run attack against government security forces (SNA) at a checkpoint in the Carafaat neighborhood in Mogadishu - Yaqshid (Banadir). There were no casualties. Al Shabaab claimed responsibility.",0,1655833736,SOM
9365838,404,KEN8901,8901,16-Jun-22,2022,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Isiolo,Isiolo,Bula Pesa,Isiolo,0.3546,37.5822,1,Citizen (Kenya),National,"On 16 June 2022, local residents demonstrated by carrying banners, twigs and waving placards as they marched along the Meru- Isiolo highway in Isiolo (Isiolo, Isiolo) against the encroachment of their land by the Kenya Defence Forces (KDF) school of infantry. Presenting their petition to the county commissioner, the group demanded the president to intercede and stop the encroachment. [size=no report]",0,1655833736,KEN
9365913,450,MAG2241,2241,16-Jun-22,2022,1,Riots,Violent demonstration,Rioters (Madagascar),,5,,,0,50,Eastern Africa,Madagascar,Analamanga,Antananarivo Atsimondrano,Ambavahaditokana,Itaosy,-18.9167,47.4667,1,Midi Madagasikara,National,"On 16 June 2022, a group of people barricaded a road with burning tires in Itaosy (Antananarivo Atsimondrano, Analamanga) to demonstrate against constant power cuts. [size=no report]",0,1655833736,MDG
